,bless_msg,label
0,恭喜严总喜提爱车一辆。。。,5
1,啊宏伟帅咩哈哈哈哈狗日的青春,11
2,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
3,哇哦！比原唱还好听，再来一首，再来一首！,11
4,摔倒了别哭重新站起来加油,11
5,526911589,11
6,祝菲哥金榜题名考上河南理工，学业一帆风顺，未来前程似锦！,1
7,小东:不管未来多遥远，成长路上有你们；不管相逢在何时，我们永远是朋友。友谊地久天长！,1
8,祝你生日快乐,0
9,欢迎姑父的到来，在会下一次的光临,6
10,祝彩虹每天都开心,11
11,祝我李姐姐夫永远幸福开心,6
12,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
13,老粑粑加油哇，,11
14,生日快乐哈,0
15,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
16,祝大华杨总：生日快乐！身体健康！生意兴隆！合心合意。l,0
17,唱的好，赏酒！,11
18,526914177,11
19,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
20,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
21,祝永远,11
22,小元，祝大家岁岁有今日年年有今朝开心快乐每一天！,11
23,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
24,郭晴宝贝生日快乐,0
25,愿冀雪燕越来越好渣男都远离她哟,7
26,哇哦！比原唱还好听，再来一首，再来一首！,11
27,钟心鹏生日快乐,0
28,死也等你,3
29,辉哥，尽情Happy,4
30,恭喜老姐张梅，喜提座驾！向钱冲！一路平安！,10
31,刚哥哥凡哥哥的性福日哦，日哦！,11
32,若有此生，永不分离，陌生，悲伤，只因曾经,3
33,若有此生，永不分离，陌生，悲伤，只因曾经,3
34,祝我亲爱的妹妹生日快乐.,0
35,不忘初心.一直幸福快乐，把每一天都当做永恒,11
36,人潮人海，感恩一路有你们。好朋友，一辈子！今晚嗨皮到天亮，没毛病！,4
37,祝：容姐生日快乐,0
38,南平好兄弟，谢谢你们款待，很高兴认识你们真好，浩子在这里祝福你生意兴隆，财源广进。,2
39,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
40,生日快乐,0
41,。,11
42,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
43,你给我盖他,11
44,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
45,每天的你都和今天一样漂亮,11
46,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
47,祝小陶与对象99,9
48,兄弟，别哭，生日快乐！！！,0
49,祝我们一家人健健康康平平安安,6
50,祝周主任生日快乐,0
51,祝愿我们的友谊天长地久,4
52,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
53,【8888包厢】：北姑娘生日快乐,0
54,韩总生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
55,吴洪永爱罗梅一生一世,3
56,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
57,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
58,你给我盖他,11
59,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
60,祝：容姐生日快乐！大家身体健康！,0
61,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
62,祝罗总家庭事业双丰收，祝沈姐张姐青春永驻，祝叶兄弟每晚都行,5
63,蓉婷小可爱生日快乐鸭！！！,0
64,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
65,祝：容姐生日快乐！大家身体健康！,0
66,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
67,深情小王子,11
68,祝颜梦雨生日快乐！,0
69,【517包厢】：祝琳妹妹青春永驻！生日快乐！,0
70,好,11
71,你永远都是我的公主18岁快乐,0
72,祝陆红萍生日快乐,0
73,祝:许善娟生日快乐，青春永驻，年年十八,0
74,林玲我喜欢你,3
75,祝老板，身体健康，生意兴隆，财源滚滚而来。事业事事顺，打牌场场蠃！,2
76,无聊啊,7
77,妈妈生日快乐，越活越年轻,0
78,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
79,唱的也太好听了吧，棒棒哒！打call打call！,11
80,哈哈哈,11
81,祝福我大哥星星生日快乐，永远年轻,0
82,辉哥，爱你么么哒,3
83,不管今天过后我们是否还能在一起，祝我们快乐,3
84,祝我明早上打针打快点,11
85,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
86,胖胖哥：遇见你是我的福分，爱上你是我的福气，祝你生日快乐，财源滚滚，爱你。,0
87,祝娜娜姐生日快乐，永远十八一枝花，开心每一天。,0
88,买金刚砂的张总/鹏程金刚砂,2
89,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
90,周周就是全场最骚的老女人,8
91,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
92,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
93,娃子生日快乐,0
94,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
95,生日快乐，，，奥雷给,0
96,祝小姐妹生日快乐，永远年轻漂亮，幸福满满。,0
97,祝各位同事家人、兄弟姐妹们，万事如意，蒸蒸日上，一家人一条心一起拼一定赢！,6
98,黄小胖生日快乐！么么哒,0
99,祝孟哥玩好、嗨好…,11
100,弯卵，硬起来,11
101,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
102,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
103,欢迎老连长莅临南安,2
104,生日快乐祝王大炮越来越胖,0
105,祝涛哥分手快乐早日找到真爱,7
106,感谢罗总盛情款待，喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,2
107,丘大爷生日快乐，为寿星丘大爷献上第一句生日祝福：生日快乐！祝你青春永不变！,0
108,祝福爸爸妈妈恩恩爱爱白头到老，健健康康开开心心并且一路发发发！！！爱你们哟,6
109,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
110,祝妹子生日快乐，永远十八一枝花，开心每一天。,0
111,大哥生日快乐,0
112,祝国宝生日快乐,0
113,B05挑战所有包厢，只要你敢来。无论男女，我们接了！,11
114,表妹生日快乐，美美最美,0
115,祝郑兄生日快乐,0
116,祝好朋友姚志杰生日快乐,0
117,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
118,梅子女士生日快乐年年十八,0
119,祝我们哥们感情天长地久！！TG,4
120,生日快乐,0
121,惨淡经营历千辛，一举成名天下闻，虎啸龙吟展宏图，盘马弯弓创新功,2
122,【V09包厢】：好好听，身材健康，工作顺心,5
123,祝愿王晶小朋友天天18岁，年年都开心,0
124,B05挑战所有包厢，只要你敢来。无论男女，我们接了！,11
125,晓雯叫爸爸,11
126,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
127,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
128,乖崽，永远爱你，这一辈子爱你，不欺骗你，疼你，懂你！,3
129,周周就是全场最骚的老处女,8
130,祝小姐妹生日快乐，永远年轻漂亮，幸福满满。,0
131,珍珍老师大夜顺利,11
132,男27岁。微信17789822903。想找个女朋友。看上的联系一下,7
133,祝:李老板生意兴隆，财源滚滚，身体健康，万事如意，心想事成。,2
134,早生贵子,9
135,欢迎两个嫂子来沈阳光临,6
136,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
137,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
138,散伙拜拜,1
139,【605包厢】：唱的也太好听了吧，棒棒哒！打call打call！,11
140,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
141,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
142,祝笑笑云奇新婚快乐,9
143,祝小姐姐生日快乐，永远年轻漂亮，幸福满满。,0
144,姐夫生日快乐,0
145,祝亮点生日快乐开心健康永远美丽,0
146,祝陆总生日快乐！身体健康！爆富爆美,0
147,住吕凤华生日快乐,0
148,【517包厢】：祝王乔琳大姐大永葆青春寿比南山福如东海年年有今日岁岁有今朝,10
149,祝姐妹生日快乐，天天十八，月月好运，年年发财。,0
150,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！祝唐标生日快乐！！！！！,0
151,马sir生日快乐,0
152,！我们的陈渣生日快乐,0
153,【A222包厢】：老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
154,祝我浩弟生日快乐,0
155,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
156,祝谢艳芳生日快乐！身体健康！同时也祝今晚兄弟姐妹们平平安安！热烈欢迎欢迎大刘总光临平湖！,0
157,黄先生，生日快乐！爱你么么哒！,0
158,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
159,祝妹子生日快乐，永远十八一枝花，开心每一天。,0
160,【312包厢】：涛峰哥，么么哒……做60个俯卧撑吧，好强壮哦，伦家好喜欢的嘛……涛峰欧巴,11
161,祝香香女神生日快乐,0
162,师生相聚在一起,1
163,黄先生，余生有你才算完整！！娟,3
164,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，小妮不断,0
165,祝：海南昌昊公司，各位同仁齐心协力共创辉煌！,2
166,祝温平升学快乐,10
167,啊悦哥威武霸气侧漏，大姨妈长流不息,11
168,祝：我亲爱的老婆生日快乐,0
169,祝我们亲爱的林广全梁耀光黎权英三位同学生日快乐！心想事成！,0
170,王金梦你最棒,11
171,生日快乐哥们,0
172,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
173,剑鑫生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
174,祝兄弟新婚快乐！早生贵子！,9
175,祝兄弟新婚快乐！早生贵子！,9
176,祝兄弟新婚快乐！早生贵子！,9
177,祝兄弟新婚快乐！早生贵子！,9
178,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
179,！,11
180,弟妹生日快乐,0
181,祝：男神们越来越帅，品质团队越做越好,5
182,祝福，肖湘亮，老弟生日快乐，全家身体健康，,0
183,祝亲爱的生日快乐，永远十八一枝花，开心每一天。,0
184,王秋雨生日快乐,0
185,金牌小王子,11
186,朱朱老师生日快乐,0
187,3RsN1Lxatsn,11
188,祝月亮生日快乐，年年有今日岁岁有今朝,0
189,祝亮点生日快乐开心健康永远美丽,0
190,感谢您们真诚的祝福，谢谢您们！,10
191,祝老板娘生日快乐，生意思兴隆，越活越漂亮,0
192,马sir生日快乐,0
193,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
194,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
195,3RsN1Lxatsn,11
196,好像也不太行啊,11
197,祝小姐妹生日快乐，永远年轻漂亮，幸福满满。,0
198,亲爱的李国英美女，迟来的祝祝你生日快乐,0
199,你猜我是谁哈哈哈,11
200,祝林妹妹永远18,0
201,欢迎峰哥来到芦台，还有五湖四海的朋友，真诚祝福你们越来越好。王小妹敬上！,4
202,人潮人海，感恩一路有你们。好朋友，一辈子！今晚嗨皮到天亮，没毛病！,4
203,我们的生命里，无疑会有很多个夏天，但没有哪一个，会如今夏。,11
204,孟哥玩好、玩的高兴、嗨好、兄弟曹梁和全体兄弟,4
205,王敏透了好几瓶了我不会说你开心点我想和你过一辈子,3
206,祝马姐生意兴隆，万事如意，所有人太开心，所有人太快乐大本营，,2
207,百年成诺携手奥雷公司祝大家广州之行嗨到底,2
208,【1007包厢】：祝我们事业长虹，业绩翻番，荷包满满，未来都过上自己想要的日子！,5
209,兄弟们让我们嗨起来,4
210,热烈欢迎浙江邵总，广西曹总，同窗黄总，曾总以及各位好友莅临英禄科技指导视察工作,2
211,祝我们事业长虹，业绩翻番，荷包满满，未来都过上自己想要的日子！,5
212,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
